Company	Ticker	Year	Quarter	Rater	Type (Human/LLM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (mins) Humans only	Prior Close ($)	Next Day Open ($)	Actual % Change	Actual Direction	Prediction Correct?	Position	Net P&L	Notes / Risks Flagged
Disney	DIS	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0025	HOLD		100.21	102.05	1.84%	FLAT	YES	0	0.0000%	micro=0.25 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Disney	DIS	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2375	HOLD		116.63	114.13	-2.14%	DOWN	NO	0	0.0000%	micro=0.35 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Disney	DIS	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		114.99	107.34	-6.65%	DOWN	NO	1	-6.7528%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
JPMorgan	JPM	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		221.78	221.00	-0.35%	FLAT	NO	-1	0.2517%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
JPMorgan	JPM	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0800	SELL		309.72	312.54	0.91%	FLAT	NO	-1	-1.0105%	micro=0.10 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
JPMorgan	JPM	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		281.17	282.99	0.65%	FLAT	YES	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
JPMorgan	JPM	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2175	HOLD		297.85	302.10	1.43%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
JPMorgan	JPM	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2225	HOLD		307.93	305.26	-0.87%	FLAT	YES	0	0.0000%	micro=0.20 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Netflix	NFLX	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		97.30	98.44	1.17%	FLAT	NO	-1	-1.2716%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Netflix	NFLX	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		107.79	96.37	-10.59%	DOWN	YES	-1	10.4947%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Netflix	NFLX	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		127.42	124.20	-2.53%	DOWN	NO	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Netflix	NFLX	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1350	HOLD		124.14	114.29	-7.93%	DOWN	NO	0	0.0000%	micro=0.00 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Netflix	NFLX	2024	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.8000	BUY		86.97	99.80	14.75%	UP	YES	1	14.6522%	micro=0.80 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Netflix	NFLX	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4425	BUY		87.26	82.52	-5.43%	DOWN	NO	1	-5.5320%	micro=0.60 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Target	TGT	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		89.11	88.31	-0.90%	FLAT	NO	-1	0.7978%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Target	TGT	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		122.33	120.83	-1.23%	FLAT	YES	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Target	TGT	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0000	HOLD		95.58	95.38	-0.21%	FLAT	YES	0	0.0000%	micro=0.00 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Target	TGT	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2300	SELL		84.42	84.49	0.08%	FLAT	NO	-1	-0.1829%	micro=-0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Barclays	BCS	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		23.00	23.10	0.43%	FLAT	NO	-1	-0.5348%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Barclays	BCS	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1825	HOLD		19.65	19.56	-0.46%	FLAT	YES	0	0.0000%	micro=0.25 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Barclays	BCS	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3275	BUY		20.11	20.50	1.94%	FLAT	NO	1	1.8393%	micro=0.35 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Ford	F	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1400	HOLD		12.09	11.41	-5.62%	DOWN	NO	0	0.0000%	micro=0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Ford	F	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1200	SELL		10.36	10.26	-0.97%	FLAT	NO	-1	0.8653%	micro=-0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Ford	F	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		13.26	13.31	0.38%	FLAT	NO	1	0.2771%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Microsoft	MSFT	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2500	HOLD		426.61	409.67	-3.97%	DOWN	NO	0	0.0000%	micro=0.25 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Microsoft	MSFT	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		538.14	527.14	-2.04%	DOWN	NO	1	-2.1441%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Microsoft	MSFT	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		437.14	413.86	-5.33%	DOWN	NO	1	-5.4255%	micro=0.30 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Pfizer	PFE	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0800	SELL		21.14	20.94	-0.95%	FLAT	NO	-1	0.8461%	micro=0.10 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Pfizer	PFE	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0250	HOLD		25.87	26.16	1.12%	FLAT	YES	0	0.0000%	micro=0.20 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Pfizer	PFE	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		22.37	23.08	3.17%	UP	NO	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Pfizer	PFE	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1125	HOLD		26.23	24.95	-4.88%	DOWN	NO	0	0.0000%	micro=0.00 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
United Airlines	UAL	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		67.00	69.64	3.94%	UP	NO	-1	-4.0403%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
United Airlines	UAL	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		88.47	91.89	3.87%	UP	NO	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
United Airlines	UAL	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		104.05	102.94	-1.07%	FLAT	NO	1	-1.1668%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
United Airlines	UAL	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		108.57	111.95	3.11%	UP	YES	1	3.0132%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2023	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.5000	BUY		169.67	168.57	-0.65%	FLAT	NO	1	-0.7483%	micro=0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2024	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0000	HOLD		157.67	155.16	-1.59%	FLAT	YES	0	0.0000%	micro=0.00 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		128.74	128.90	0.12%	FLAT	NO	-1	-0.2243%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		156.73	156.61	-0.08%	FLAT	NO	-1	-0.0234%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2023	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.5000	BUY		168.89	169.19	0.18%	FLAT	NO	1	0.0776%	micro=0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2024	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		152.16	153.10	0.62%	FLAT	NO	-1	-0.7178%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1550	HOLD		139.90	140.69	0.56%	FLAT	YES	0	0.0000%	micro=0.20 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2026	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2175	SELL		137.86	135.86	-1.45%	FLAT	NO	-1	1.3507%	micro=-0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2023	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.5000	BUY		149.10	149.66	0.38%	FLAT	NO	1	0.2756%	micro=0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2024	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		159.37	158.40	-0.61%	FLAT	NO	-1	0.5086%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2450	HOLD		140.56	141.45	0.63%	FLAT	YES	0	0.0000%	micro=0.20 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2023	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		153.23	153.40	0.11%	FLAT	NO	-1	-0.2109%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2024	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1000	SELL		135.33	135.24	-0.07%	FLAT	NO	-1	-0.0335%	micro=-0.10 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
PepsiCo	PEP	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1950	HOLD		159.73	161.73	1.25%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
FedEx	FDX	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0550	SELL		180.17	181.61	0.80%	FLAT	NO	-1	-0.8992%	micro=-0.10 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
FedEx	FDX	2026	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2375	HOLD		229.57	217.52	-5.25%	DOWN	NO	0	0.0000%	micro=0.35 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
FedEx	FDX	2026	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2575	BUY		285.88	305.72	6.94%	UP	YES	1	6.8400%	micro=0.55 macro=-0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
FedEx	FDX	2026	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0575	HOLD		317.24	314.77	-0.78%	FLAT	YES	0	0.0000%	micro=0.35 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lockheed Martin	LMT	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		446.87	451.62	1.06%	FLAT	NO	-1	-1.1629%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lockheed Martin	LMT	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2300	SELL		399.95	402.89	0.74%	FLAT	NO	-1	-0.8351%	micro=-0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lockheed Martin	LMT	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4375	BUY		480.12	482.05	0.40%	FLAT	NO	1	0.3020%	micro=0.55 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lockheed Martin	LMT	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4150	BUY		615.22	613.73	-0.24%	FLAT	NO	1	-0.3422%	micro=0.55 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Novo Nordisk	NVO	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		64.43	62.87	-2.42%	DOWN	YES	-1	2.3212%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Novo Nordisk	NVO	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2300	SELL		43.29	46.23	6.79%	UP	NO	-1	-6.8914%	micro=-0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Novo Nordisk	NVO	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1400	SELL		46.75	46.06	-1.48%	FLAT	NO	-1	1.3759%	micro=-0.50 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Novo Nordisk	NVO	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1625	SELL		48.52	46.25	-4.68%	DOWN	YES	-1	4.5785%	micro=-0.50 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Hilton	HLT	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		225.81	222.45	-1.49%	FLAT	NO	-1	1.3880%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Hilton	HLT	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1400	HOLD		323.21	321.40	-0.56%	FLAT	YES	0	0.0000%	micro=0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Hilton	HLT	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1275	HOLD		266.30	265.89	-0.15%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Hilton	HLT	2024	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2000	HOLD		232.61	232.21	-0.17%	FLAT	YES	0	0.0000%	micro=0.20 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Hilton	HLT	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		324.83	325.21	0.12%	FLAT	NO	1	0.0170%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
LVMH	MC.PA	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0375	HOLD		458.75	453.58	-1.13%	FLAT	YES	0	0.0000%	micro=-0.15 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
LVMH	MC.PA	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1125	HOLD		579.84	547.08	-5.65%	DOWN	NO	0	0.0000%	micro=0.00 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Marriott	MAR	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1675	HOLD		358.35	357.30	-0.29%	FLAT	YES	0	0.0000%	micro=0.55 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Marriott	MAR	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1200	SELL		257.44	257.02	-0.16%	FLAT	NO	-1	0.0631%	micro=-0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Marriott	MAR	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2450	HOLD		270.54	272.04	0.55%	FLAT	YES	0	0.0000%	micro=0.20 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Marriott	MAR	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3050	BUY		357.95	357.23	-0.20%	FLAT	NO	1	-0.3011%	micro=0.35 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
