rater,report_date,ticker,decision,gap,net,equity,document_id
baseline: always-flat,2026-04-23,FCX,HOLD,-0.115,-0.0,1.0,FCX_FQ1_2026
baseline: always-flat,2026-04-23,INTC,HOLD,0.2309,0.0,1.0,INTC_FQ1_2026
baseline: always-flat,2026-04-24,CL,HOLD,0.01,0.0,1.0,CL_FQ1_2026
baseline: always-flat,2026-04-29,EBAY,HOLD,-0.0358,-0.0,1.0,EBAY_FQ1_2026
baseline: always-flat,2026-04-30,MA,HOLD,-0.0395,-0.0,1.0,MA_FQ1_2026
baseline: always-flat,2026-05-01,CVX,HOLD,-0.0104,-0.0,1.0,CVX_FQ1_2026
baseline: always-flat,2026-05-01,SHEL,HOLD,-0.0052,-0.0,1.0,SHEL_FQ1_2026
baseline: always-flat,2026-05-01,XOM,HOLD,-0.0111,-0.0,1.0,XOM_FQ1_2026
baseline: always-flat,2026-05-05,DUK,HOLD,0.0114,0.0,1.0,DUK_FQ1_2026
baseline: always-flat,2026-05-05,SHOP,HOLD,-0.0902,-0.0,1.0,SHOP_FQ1_2026
baseline: always-flat,2026-05-06,UNP,HOLD,0.0054,0.0,1.0,UNP_FQ1_2026
baseline: always-flat,2026-05-07,DDOG,HOLD,0.3081,0.0,1.0,DDOG_FQ1_2026
baseline: always-flat,2026-05-19,HD,HOLD,-0.0265,-0.0,1.0,HD_FQ1_2026
baseline: always-flat,2026-05-28,COST,HOLD,-0.0087,-0.0,1.0,COST_FQ3_2026
baseline: always-flat,2026-06-11,ADBE,HOLD,-0.075,-0.0,1.0,ADBE_FQ2_2026
baseline: always-flat,2026-07-31,CL,HOLD,-0.0082,-0.0,1.0,CL_FQ2_2026
baseline: always-flat,2026-08-01,SONY,HOLD,-0.0241,-0.0,1.0,SONY_FQ1_2026
